"1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
23554,23043,22320,22590,22462,22307,22197,22024,21820,21647,21467,21271,21056,20906,20793,20591,20477,20380,20218,20113,20031,19908,19773,19597,19458,19315,19223,19004,18822,18698,18484,18329,18108,17865,17718,17492,17209
25421,25197,24653,23890,24173,24035,23868,23751,23566,23348,23162,22971,22761,22530,22371,22250,22033,21911,21808,21634,21521,21434,21302,21158,20969,20821,20668,20570,20335,20142,20008,19779,19614,19376,19116,18959,18717
27520,27332,27092,26499,25689,25994,25843,25664,25538,25339,25104,24905,24699,24473,24226,24054,23923,23691,23560,23449,23262,23141,23047,22906,22750,22548,22388,22224,22118,21866,21658,21514,21268,21090,20835,20555,20386
27706,27554,27366,27122,26534,25724,26025,25874,25695,25568,25369,25134,24936,24730,24504,24256,24085,23955,23721,23590,23479,23293,23171,23077,22935,22781,22578,22417,22253,22147,21894,21687,21542,21296,21119,20862,20581
27882,27882,27729,27541,27295,26706,25891,26189,26040,25860,25732,25533,25296,25096,24889,24662,24412,24241,24109,23873,23742,23630,23442,23320,23225,23083,22928,22723,22561,22396,22290,22035,21827,21681,21433,21255,20996
28245,28289,28287,28131,27941,27691,27085,26274,26575,26419,26236,26106,25904,25664,25461,25253,25021,24768,24595,24461,24222,24089,23975,23785,23661,23565,23421,23264,23056,22890,22724,22616,22358,22147,21998,21745,21566
30434,30493,30540,30538,30370,30165,29891,29229,28374,28693,28521,28325,28185,27967,27707,27489,27264,27014,26741,26554,26409,26151,26008,25885,25680,25545,25443,25286,25117,24893,24714,24534,24418,24138,23911,23750,23477
31208,31330,31390,31439,31435,31261,31051,30768,30085,29215,29540,29361,29160,29015,28791,28524,28299,28069,27811,27530,27338,27188,26922,26776,26649,26437,26299,26193,26032,25859,25627,25442,25257,25138,24851,24617,24451
29951,30096,30213,30271,30318,30316,30148,29945,29667,29009,28181,28489,28317,28122,27982,27767,27509,27292,27070,26821,26550,26365,26220,25964,25822,25700,25496,25362,25261,25105,24938,24715,24536,24358,24243,23966,23741
30593,30693,30841,30963,31022,31070,31067,30895,30687,30403,29730,28880,29195,29018,28819,28676,28456,28191,27969,27742,27486,27209,27019,26871,26608,26463,26337,26129,25992,25888,25728,25558,25328,25145,24962,24845,24561
31071,31150,31252,31403,31526,31586,31635,31631,31456,31244,30958,30270,29406,29725,29548,29344,29198,28974,28705,28479,28248,27988,27705,27512,27361,27093,26946,26818,26605,26466,26360,26198,26025,25792,25604,25418,25299
31112,31185,31263,31366,31517,31641,31701,31751,31747,31570,31358,31067,30374,29519,29835,29655,29450,29304,29079,28808,28581,28351,28089,27805,27612,27460,27192,27044,26915,26702,26562,26456,26293,26119,25886,25697,25511
30808,30825,30897,30974,31076,31227,31350,31408,31458,31454,31277,31067,30778,30084,29251,29563,29380,29177,29032,28810,28541,28317,28088,27829,27548,27357,27207,26941,26795,26667,26456,26318,26213,26051,25879,25648,25461
31235,31272,31290,31364,31442,31545,31698,31823,31882,31933,31928,31749,31537,31242,30547,29691,30010,29826,29621,29472,29247,28974,28746,28515,28251,27966,27772,27619,27349,27201,27071,26857,26716,26609,26446,26271,26036
29319,29322,29357,29374,29443,29518,29614,29757,29874,29931,29977,29973,29808,29606,29335,28690,27866,28168,28002,27810,27670,27459,27204,26988,26771,26523,26255,26073,25929,25675,25536,25414,25213,25080,24980,24826,24663
28590,28604,28606,28641,28657,28725,28798,28891,29031,29144,29200,29245,29242,29081,28884,28621,27996,27183,27480,27321,27133,26997,26791,26542,26332,26119,25878,25615,25438,25297,25048,24913,24794,24598,24469,24371,24220
29379,29459,29473,29475,29512,29528,29598,29673,29770,29913,30029,30087,30134,30131,29965,29762,29488,28845,28014,28316,28152,27958,27817,27606,27349,27131,26913,26664,26393,26211,26066,25810,25670,25547,25345,25212,25111
26960,26965,27041,27053,27054,27088,27102,27166,27236,27324,27455,27562,27616,27658,27657,27506,27318,27069,26484,25707,25989,25842,25663,25534,25340,25105,24905,24704,24476,24226,24059,23925,23689,23561,23449,23263,23141
27425,27400,27406,27483,27495,27496,27530,27545,27610,27680,27770,27904,28011,28066,28109,28108,27954,27763,27509,26911,26130,26415,26264,26082,25951,25754,25515,25311,25108,24875,24621,24452,24316,24076,23946,23832,23643
27715,27706,27682,27688,27765,27778,27778,27813,27828,27893,27965,28055,28190,28298,28354,28398,28397,28243,28049,27789,27187,26403,26688,26535,26352,26219,26020,25779,25572,25368,25132,24875,24704,24567,24324,24192,24077
26188,26449,26441,26418,26423,26497,26509,26510,26543,26557,26619,26687,26774,26902,27006,27059,27101,27101,26952,26768,26521,25945,25195,25468,25323,25147,25020,24830,24600,24403,24208,23984,23738,23575,23444,23212,23087
0,26353,26610,26601,26578,26583,26657,26670,26672,26704,26718,26780,26848,26936,27066,27170,27223,27266,27265,27115,26930,26681,26105,25350,25622,25477,25300,25172,24981,24749,24551,24355,24130,23882,23718,23586,23353
